x-axis,v1,v2
second,Volt,Volt
+589.063E-06,+4.128806515E+00,-12.484264E-03
+590.625E-06,+4.108505008E+00,-12.484264E-03
+592.188E-06,+4.088203501E+00,-12.484264E-03
+593.750E-06,+4.067901993E+00,-12.484264E-03
+595.313E-06,+4.045992446E+00,-12.484264E-03
+596.875E-06,+4.024082898E+00,-12.484264E-03
+598.438E-06,+4.002173351E+00,-12.484264E-03
+600.000E-06,+3.980263803E+00,-12.484264E-03
+601.563E-06,+3.958354256E+00,-12.484264E-03
+603.125E-06,+3.936444708E+00,-12.484264E-03
+604.688E-06,+3.914535161E+00,-12.484264E-03
+606.250E-06,+3.892625613E+00,-12.484264E-03
+607.813E-06,+3.870716066E+00,-12.484264E-03
+609.375E-06,+3.848806518E+00,-12.484264E-03
+610.938E-06,+3.825690941E+00,-12.484264E-03
+612.500E-06,+3.802575363E+00,-12.484264E-03
+614.063E-06,+3.779459785E+00,-12.484264E-03
+615.625E-06,+3.756344208E+00,-12.484264E-03
+617.188E-06,+3.733228630E+00,-12.484264E-03
+618.750E-06,+3.710113052E+00,-12.484264E-03
+620.313E-06,+3.686997475E+00,-12.484264E-03
+621.875E-06,+3.663881897E+00,-12.484264E-03
+623.438E-06,+3.640766319E+00,-12.484264E-03
+625.000E-06,+3.617650742E+00,-12.484264E-03
+626.563E-06,+3.593329134E+00,-11.479239E-03
+628.125E-06,+3.569007526E+00,-10.474214E-03
+629.688E-06,+3.544685918E+00,-9.469189E-03
+631.250E-06,+3.520364311E+00,-8.464164E-03
+632.813E-06,+3.496042703E+00,-7.459139E-03
+634.375E-06,+3.471721095E+00,-6.454114E-03
+635.938E-06,+3.447399487E+00,-5.449088E-03
+637.500E-06,+3.423077880E+00,-4.444063E-03
+639.063E-06,+3.398756272E+00,-3.439038E-03
+640.625E-06,+3.374434664E+00,-2.434013E-03
+642.188E-06,+3.349711046E+00,+1.083575E-03
+643.750E-06,+3.324987428E+00,+4.601163E-03
+645.313E-06,+3.300263811E+00,+8.118751E-03
+646.875E-06,+3.275540193E+00,+11.636339E-03
+648.438E-06,+3.250816575E+00,+15.153926E-03
+650.000E-06,+3.226092957E+00,+18.671514E-03
+651.563E-06,+3.201369339E+00,+22.189102E-03
+653.125E-06,+3.176645721E+00,+25.706690E-03
+654.688E-06,+3.151922104E+00,+29.224278E-03
+656.250E-06,+3.127198486E+00,+32.741866E-03
+657.813E-06,+3.102072858E+00,+41.033323E-03
+659.375E-06,+3.076947230E+00,+49.324780E-03
+660.938E-06,+3.051821602E+00,+57.616238E-03
+662.500E-06,+3.026695974E+00,+65.907695E-03
+664.063E-06,+3.001570346E+00,+74.199152E-03
+665.625E-06,+2.976444719E+00,+82.490609E-03
+667.188E-06,+2.951319091E+00,+90.782066E-03
+668.750E-06,+2.926193463E+00,+99.073524E-03
+670.313E-06,+2.901067835E+00,+107.364981E-03
+671.875E-06,+2.875942207E+00,+115.656438E-03
+673.438E-06,+2.851017584E+00,+132.741865E-03
+675.000E-06,+2.826092961E+00,+149.827292E-03
+676.563E-06,+2.801168338E+00,+166.912719E-03
+678.125E-06,+2.776243716E+00,+183.998146E-03
+679.688E-06,+2.751319093E+00,+201.083573E-03
