time,V(vi),V(vout)
6.014568599076482e-006,5.000000e+000,3.400702e-001
6.041711456219339e-006,5.000000e+000,3.073846e-001
6.068854313362197e-006,5.000000e+000,2.780436e-001
6.095997170505054e-006,5.000000e+000,2.520471e-001
6.125997170505054e-006,5.000000e+000,2.254356e-001
6.155997170505054e-006,5.000000e+000,2.015499e-001
6.185997170505054e-006,5.000000e+000,1.801279e-001
6.215997170505054e-006,5.000000e+000,1.609291e-001
6.245997170505054e-006,5.000000e+000,1.437336e-001
6.275997170505054e-006,5.000000e+000,1.283412e-001
6.305997170505054e-006,5.000000e+000,1.145698e-001
6.335997170505054e-006,5.000000e+000,1.022542e-001
6.365997170505054e-006,5.000000e+000,9.124510e-002
6.395997170505054e-006,5.000000e+000,8.140739e-002
6.425997170505054e-006,5.000000e+000,7.261929e-002
6.455997170505054e-006,5.000000e+000,6.477108e-002
6.485997170505054e-006,5.000000e+000,5.776404e-002
6.515997170505054e-006,5.000000e+000,5.150946e-002
6.545997170505054e-006,5.000000e+000,4.592768e-002
6.575997170505054e-006,5.000000e+000,4.094723e-002
6.605997170505054e-006,5.000000e+000,3.650406e-002
6.635997170505054e-006,5.000000e+000,3.254079e-002
6.665997170505054e-006,5.000000e+000,2.900604e-002
6.695997170505054e-006,5.000000e+000,2.585384e-002
6.725997170505054e-006,5.000000e+000,2.304309e-002
6.755997170505054e-006,5.000000e+000,2.053702e-002
6.785997170505054e-006,5.000000e+000,1.830280e-002
6.815997170505054e-006,5.000000e+000,1.631107e-002
6.845997170505054e-006,5.000000e+000,1.453564e-002
6.875997170505054e-006,5.000000e+000,1.295311e-002
6.905997170505054e-006,5.000000e+000,1.154259e-002
6.935997170505054e-006,5.000000e+000,1.028545e-002
6.965997170505054e-006,5.000000e+000,9.165044e-003
6.995997170505054e-006,5.000000e+000,8.166547e-003
7.025997170505054e-006,5.000000e+000,7.276721e-003
7.055997170505054e-006,5.000000e+000,6.483762e-003
7.085997170505054e-006,5.000000e+000,5.777142e-003
7.115997170505054e-006,5.000000e+000,5.147476e-003
7.145997170505054e-006,5.000000e+000,4.586394e-003
7.175997170505055e-006,5.000000e+000,4.086437e-003
7.205997170505054e-006,5.000000e+000,3.640950e-003
7.235997170505054e-006,5.000000e+000,3.244007e-003
7.265997170505055e-006,5.000000e+000,2.890322e-003
7.295997170505054e-006,5.000000e+000,2.575184e-003
7.325997170505054e-006,5.000000e+000,2.294395e-003
7.355997170505055e-006,5.000000e+000,2.044213e-003
7.385997170505054e-006,5.000000e+000,1.821305e-003
7.415997170505054e-006,5.000000e+000,1.622698e-003
7.445997170505055e-006,5.000000e+000,1.445744e-003
7.453711860432904e-006,5.000000e+000,1.403542e-003
7.461426550360753e-006,5.000000e+000,1.362466e-003
7.469141240288603e-006,5.000000e+000,1.322518e-003
7.476855930216452e-006,5.000000e+000,1.283695e-003
7.484570620144301e-006,5.000000e+000,1.246000e-003
7.492285310072151e-006,5.000000e+000,1.209430e-003
7.500000000000000e-006,5.000000e+000,1.173988e-003
7.501000000000000e-006,5.000000e+000,1.169474e-003
7.501003107943664e-006,4.984460e+000,1.167830e-003
7.501009323830992e-006,4.953381e+000,1.164543e-003
7.501096346253579e-006,4.518269e+000,1.118566e-003
7.501195800450822e-006,4.020998e+000,1.066813e-003
7.501394708845307e-006,3.026456e+000,9.722610e-004
7.501504325309455e-006,2.478374e+000,9.454213e-004
7.501617167220548e-006,1.914164e+000,9.845401e-004
7.501751224303446e-006,1.243878e+000,1.153938e-003
7.501855664096764e-006,7.216795e-001,1.435642e-003
7.502000000000000e-006,0.000000e+000,2.013710e-003
7.502000893681068e-006,0.000000e+000,2.019173e-003
7.502002681043205e-006,0.000000e+000,2.030098e-003
7.504093894743115e-006,0.000000e+000,1.481046e-002
7.506185108443025e-006,0.000000e+000,2.758766e-002
7.508276322142935e-006,0.000000e+000,4.036170e-002
7.510367535842845e-006,0.000000e+000,5.313258e-002
7.512458749542755e-006,0.000000e+000,6.590029e-002
7.514549963242666e-006,0.000000e+000,7.866485e-002
7.516641176942575e-006,0.000000e+000,9.142624e-002
7.526641176942575e-006,0.000000e+000,1.524206e-001
7.536641176942575e-006,0.000000e+000,2.133560e-001
7.546641176942575e-006,0.000000e+000,2.742258e-001
7.566641176942576e-006,0.000000e+000,3.957626e-001
7.596641176942575e-006,0.000000e+000,5.775579e-001
7.626641176942575e-006,0.000000e+000,7.587430e-001
7.656641176942575e-006,0.000000e+000,9.393201e-001
7.679498319799718e-006,0.000000e+000,1.076533e+000
7.702355462656861e-006,0.000000e+000,1.213372e+000
7.725212605514004e-006,0.000000e+000,1.349837e+000
7.748069748371146e-006,0.000000e+000,1.485928e+000
7.770926891228289e-006,0.000000e+000,1.621645e+000
7.793784034085432e-006,0.000000e+000,1.756989e+000
