x-axis,v1,v2
second,Volt,Volt
+460.937E-06,+5.233668312E+00,-55.276349E-03
+462.500E-06,+5.233668312E+00,-55.276349E-03
+464.062E-06,+5.233668312E+00,-15.075345E-03
+465.625E-06,+5.233668312E+00,-15.075345E-03
+467.187E-06,+5.265829116E+00,-15.075345E-03
+468.750E-06,+5.233668312E+00,-15.075345E-03
+470.312E-06,+5.233668312E+00,-15.075345E-03
+471.875E-06,+5.265829116E+00,-15.075345E-03
+473.437E-06,+5.297989920E+00,+25.125660E-03
+475.000E-06,+5.201507509E+00,-55.276349E-03
+476.562E-06,+5.233668312E+00,+25.125660E-03
+478.125E-06,+5.233668312E+00,-15.075345E-03
+479.687E-06,+5.233668312E+00,-15.075345E-03
+481.250E-06,+5.233668312E+00,-55.276349E-03
+482.812E-06,+5.265829116E+00,-15.075345E-03
+484.375E-06,+5.265829116E+00,-15.075345E-03
+485.937E-06,+5.233668312E+00,-15.075345E-03
+487.500E-06,+5.233668312E+00,-15.075345E-03
+489.062E-06,+5.265829116E+00,+25.125660E-03
+490.625E-06,+5.201507509E+00,+25.125660E-03
+492.187E-06,+5.233668312E+00,+25.125660E-03
+493.750E-06,+5.233668312E+00,-15.075345E-03
+495.312E-06,+5.233668312E+00,+25.125660E-03
+496.875E-06,+5.233668312E+00,-15.075345E-03
+498.437E-06,+5.233668312E+00,+25.125660E-03
+500.000E-06,+5.233668312E+00,-15.075345E-03
+501.562E-06,+5.201507509E+00,-15.075345E-03
+503.125E-06,+5.169346705E+00,-15.075345E-03
+504.687E-06,+5.201507509E+00,-15.075345E-03
+506.250E-06,+5.201507509E+00,-15.075345E-03
+507.812E-06,+5.169346705E+00,-15.075345E-03
+509.375E-06,+5.169346705E+00,-15.075345E-03
+510.937E-06,+5.169346705E+00,+25.125660E-03
+512.500E-06,+5.169346705E+00,-15.075345E-03
+514.062E-06,+5.137185901E+00,+25.125660E-03
+515.625E-06,+5.137185901E+00,-15.075345E-03
+517.187E-06,+5.137185901E+00,-15.075345E-03
+518.750E-06,+5.105025098E+00,-15.075345E-03
